=============================Item Count==============================
sItem Name	nItem ID	nItem Detail Id	nItem Particular Id	nItem Count
 Hµnh Gi¶ phôc - Nam 	0	100	201	0
 Hµnh Gi¶ phôc - Nam 	0	100	202	0
 Hµnh Gi¶ Giíi ®ao - 	0	3	201	0
 Hµnh Gi¶ Giíi ®ao - 	0	3	202	0
 Hµnh Gi¶ Giíi c«n - 	0	5	201	0
 Hµnh Gi¶ Giíi c«n - 	0	5	202	0
 Hµnh Gi¶ m·o - Nam t	0	103	201	0
 Hµnh Gi¶ m·o - Nam k	0	103	202	0
 Hµnh Gi¶ trang - Nam	0	101	201	0
 Hµnh Gi¶ trang - Nam	0	101	202	0
 Hçn Nguyªn Bµn ChØ -	0	102	211	0
 Hçn Nguyªn Bµn ChØ -	0	102	212	0
 Hçn Nguyªn ®ao - Nam	0	3	211	0
 Hçn Nguyªn ®ao - Nam	0	3	212	0
 Hçn Nguyªn phôc - Na	0	100	211	0
 Hçn Nguyªn phôc - Na	0	100	212	0
 Hçn Nguyªn C«n - Nam	0	5	211	0
 Hçn Nguyªn C«n - Nam	0	5	212	0
 Hçn Nguyªn m·o - Nam	0	103	211	0
 Hçn Nguyªn m·o - Nam	0	103	212	0
 Hçn Nguyªn trang - N	0	101	211	0
 Hçn Nguyªn trang - N	0	101	212	0
 Kim Cang Dao Th­êng 	0	100	271	0
 Kim Cang Dao Th­êng 	0	100	272	0
 Kim Cang Dao Qu¸n - 	0	103	271	0
 Kim Cang Dao Qu¸n - 	0	103	272	0
 Kim Cang Dao §ao - N	0	3	271	0
 Kim Cang Dao §ao - N	0	3	272	0
 Kim Cang Dao C«n - N	0	5	271	0
 Kim Cang Dao C«n - N	0	5	272	0
 Kim Cang Dao Trang -	0	101	271	0
 Kim Cang Dao Trang -	0	101	272	0
 Kim Cang Dao Béi - N	0	102	271	0
 Kim Cang Dao Béi - N	0	102	272	0
 Kim Cang D­¬ng Th­ên	0	100	251	0
 Kim Cang D­¬ng Th­ên	0	100	252	0
 Kim Cang D­¬ng Qu¸n 	0	103	251	0
 Kim Cang D­¬ng Qu¸n 	0	103	252	0
 Kim Cang D­¬ng §ao -	0	3	251	0
 Kim Cang D­¬ng §ao -	0	3	252	0
 Kim Cang D­¬ng C«n -	0	5	251	0
 Kim Cang D­¬ng C«n -	0	5	252	0
 Kim Cang D­¬ng Trang	0	101	251	0
 Kim Cang D­¬ng Trang	0	101	252	0
 Kim Cang D­¬ng Béi -	0	102	251	0
 Kim Cang D­¬ng Béi -	0	102	252	0
 Khæ Hµnh m·o - Nam t	0	103	301	0
 Khæ Hµnh m·o - Nam k	0	103	302	0
 Khæ Hµnh bµo - Nam t	0	100	301	0
 Khæ Hµnh bµo - Nam k	0	100	302	0
 Khæ Hµnh tr­îng - Na	0	8	301	0
 Khæ Hµnh tr­îng - Na	0	8	302	0
 Khæ Hµnh phôc - Nam 	0	101	301	0
 Khæ Hµnh phôc - Nam 	0	101	302	0
 ThiÒn Tu Bµn ChØ - N	0	102	311	0
 ThiÒn Tu Bµn ChØ - N	0	102	312	0
 ThiÒn Tu Ph¸p Tr­îng	0	8	311	0
 ThiÒn Tu Ph¸p Tr­îng	0	8	212	0
 ThiÒn Tu m·o - Nam t	0	103	311	0
 ThiÒn Tu m·o - Nam k	0	103	312	0
 ThiÒn Tu bµo - Nam t	0	100	311	0
 ThiÒn Tu bµo - Nam k	0	100	312	0
 ThiÒn Tu phôc - Nam 	0	101	311	0
 ThiÒn Tu phôc - Nam 	0	101	312	0
 ThiÒn TÞnh phôc - Na	0	101	321	0
 ThiÒn TÞnh phôc - Na	0	101	322	0
 ThiÒn TÞnh m·o - Nam	0	103	321	0
 ThiÒn TÞnh m·o - Nam	0	103	322	0
