Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
dta111	00000000	ThiÕu L©m vâ t¨ng  	7	99	0	38263159	0	0	0	0	0	0	0	14.169.247.68	2019-09-22 21:12:43	2019-09-23 17:49:36
lamhoang12542	051154aa	ThiÕu L©m vâ t¨ng  	7	99	0	56775016	0	0	0	0	0	0	3265000018	118.71.170.129	2019-09-22 17:59:54	2019-09-22 19:56:30
nambeo038	0988123456	Nga My tôc gia  	7	99	0	41000000	0	0	0	0	0	0	0	58.186.100.152	2019-09-22 19:47:43	2019-09-22 19:48:20
hypeadron	0Hiihihi123	ThiÕu L©m vâ t¨ng  	7	99	0	26942186	0	0	0	0	0	0	23	123.24.139.44	2019-09-23 19:52:18	2019-09-23 21:57:24
qweqaz141	0PkChinhPhai	ThiÕu L©m vâ t¨ng  	7	99	0	17016500	0	0	0	0	0	0	25	116.110.73.189	2019-09-22 18:17:45	2019-09-22 20:07:21
chosoihatam1111	111111	Nga My xuÊt gia  	7	99	0	12116000	0	0	0	0	0	0	1000000	171.243.251.52	2019-09-22 21:23:06	2019-09-24 12:50:09
chaugiaky1	11111111111w	Nga My xuÊt gia  	7	99	0	3777509	0	0	0	0	0	0	58492849	115.78.206.239	2019-09-23 14:29:18	2019-09-23 21:04:40
global5	112asdadqdqdq	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:53:37	2019-09-23 19:53:39
trunghp94	113HaiPhong	ThiÕu L©m vâ t¨ng  	0	99	0	40800400	0	0	0	0	0	0	0	117.1.228.192	2019-09-22 22:36:53	2019-09-24 10:46:23
cbbeo2	123123	ThiÕu L©m vâ t¨ng  	0	99	0	39958500	0	0	0	0	0	0	0	123.24.139.44	2019-09-22 22:38:58	2019-09-22 22:39:42
chaugiaky4	1231231	Tµ §éc  	7	99	0	998500	0	0	0	0	0	0	4400076	115.78.206.239	2019-09-23 15:53:15	2019-09-23 15:58:04
chaugiaky3	12312311	Vâ §ang ®¹o gia  	7	99	0	40998500	0	0	0	0	0	0	9400178	115.78.206.239	2019-09-23 15:48:39	2019-09-23 15:53:17
global3	123123asdasdas	ThiÕu L©m vâ t¨ng  	0	99	0	480000	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:47:54	2019-09-23 19:50:10
bomtan1102	12312dhd	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	115.78.205.250	2019-09-22 23:31:26	2019-09-22 23:31:55
clonedo	123hybbn	C¸i Bang TÜnh y  	0	99	0	998500	0	0	0	0	0	0	0	113.160.133.251	2019-09-22 20:32:03	2019-09-22 20:34:00
tamkien97	123ngoisao	ThiÕu L©m vâ t¨ng  	0	99	0	29943500	0	0	0	0	0	0	0	123.24.233.112	2019-09-22 22:01:35	2019-09-22 22:14:39
thanhkhang111	123qwe123	Nga My xuÊt gia  	7	99	0	13438500	0	0	0	0	0	0	0	115.78.202.18	2019-09-23 09:27:32	2019-09-24 09:20:31
zlkhanglz150	123qwe123asd	HiÖp §éc  	7	99	0	430000	0	0	0	0	0	0	0	115.75.106.5	2019-09-23 18:09:49	2019-09-24 11:58:37
thienthien	1CuocQuyTien	ThiÕu L©m vâ t¨ng  	7	99	0	39986500	0	0	0	0	0	0	18	115.77.186.154	2019-09-23 10:53:20	2019-09-24 12:39:41
volam2019vn	1cuocquytien1	ThiÕu L©m vâ t¨ng  	7	99	0	39378500	0	0	0	0	0	0	0	113.169.69.30	2019-09-24 10:22:43	2019-09-24 10:42:49
dongdubai	1C­ícLo¹nTöCung	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	117.2.123.43	2019-09-23 11:20:02	2019-09-23 12:46:53
global4	1dadasdasd2	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:52:03	2019-09-23 19:52:05
emtaboi2	1SótChetLun	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	115.75.237.174	2019-09-23 18:10:41	2019-09-23 18:10:58
