StatTime	Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
"2019_09_24 08:02:33"	dta111	00000000	ThiÕu L©m vâ t¨ng  	7	99	0	38263159	0	0	0	0	0	0	0	14.169.247.68	2019-09-22 21:12:43	2019-09-23 17:49:36
"2019_09_24 08:02:33"	lamhoang12542	051154aa	ThiÕu L©m vâ t¨ng  	7	99	0	56775016	0	0	0	0	0	0	3265000018	118.71.170.129	2019-09-22 17:59:54	2019-09-22 19:56:30
"2019_09_24 08:02:33"	nambeo038	0988123456	Nga My tôc gia  	7	99	0	41000000	0	0	0	0	0	0	0	58.186.100.152	2019-09-22 19:47:43	2019-09-22 19:48:20
"2019_09_24 08:02:33"	hypeadron	0Hiihihi123	ThiÕu L©m vâ t¨ng  	7	99	0	26942186	0	0	0	0	0	0	23	123.24.139.44	2019-09-23 19:52:18	2019-09-23 21:57:24
"2019_09_24 08:02:33"	qweqaz141	0PkChinhPhai	ThiÕu L©m vâ t¨ng  	7	99	0	17016500	0	0	0	0	0	0	25	116.110.73.189	2019-09-22 18:17:45	2019-09-22 20:07:21
"2019_09_24 08:02:33"	chosoihatam1111	111111	Nga My xuÊt gia  	7	99	0	12117500	0	0	0	0	0	0	1000000	27.69.210.146	2019-09-22 21:23:06	2019-09-23 15:11:15
"2019_09_24 08:02:33"	chaugiaky1	11111111111w	Nga My xuÊt gia  	7	99	0	3777509	0	0	0	0	0	0	58492849	115.78.206.239	2019-09-23 14:29:18	2019-09-23 21:04:40
"2019_09_24 08:02:33"	trunghp94	113HaiPhong	ThiÕu L©m vâ t¨ng  	0	99	0	40800400	0	0	0	0	0	0	0	123.26.196.49	2019-09-22 22:36:53	2019-09-22 22:38:10
"2019_09_24 08:02:33"	cbbeo2	123123	ThiÕu L©m vâ t¨ng  	0	99	0	39958500	0	0	0	0	0	0	0	123.24.139.44	2019-09-22 22:38:58	2019-09-22 22:39:42
"2019_09_24 08:02:33"	chaugiaky4	1231231	Tµ §éc  	7	99	0	998500	0	0	0	0	0	0	4400076	115.78.206.239	2019-09-23 15:53:15	2019-09-23 15:58:04
"2019_09_24 08:02:33"	chaugiaky3	12312311	Vâ §ang ®¹o gia  	7	99	0	40998500	0	0	0	0	0	0	9400178	115.78.206.239	2019-09-23 15:48:39	2019-09-23 15:53:17
"2019_09_24 08:02:33"	global3	123123asdasdas	ThiÕu L©m vâ t¨ng  	0	99	0	480000	0	0	0	0	0	0	0	42.114.21.176	2019-09-23 19:47:54	2019-09-23 19:50:10
"2019_09_24 08:02:33"	bomtan1102	12312dhd	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	115.78.205.250	2019-09-22 23:31:26	2019-09-22 23:31:55
"2019_09_24 08:02:33"	clonedo	123hybbn	C¸i Bang TÜnh y  	0	99	0	998500	0	0	0	0	0	0	0	113.160.133.251	2019-09-22 20:32:03	2019-09-22 20:34:00
"2019_09_24 08:02:33"	tamkien97	123ngoisao	ThiÕu L©m vâ t¨ng  	0	99	0	29943500	0	0	0	0	0	0	0	123.24.233.112	2019-09-22 22:01:35	2019-09-22 22:14:39
"2019_09_24 08:02:33"	thanhkhang111	123qwe123	Nga My xuÊt gia  	7	99	0	29878500	0	0	0	0	0	0	0	115.78.202.18	2019-09-23 09:27:32	2019-09-23 20:36:26
"2019_09_24 08:02:33"	zlkhanglz150	123qwe123asd	HiÖp §éc  	7	99	0	430000	0	0	0	0	0	0	0	115.75.106.5	2019-09-23 18:09:49	2019-09-23 18:55:45
"2019_09_24 08:02:33"	thienthien	1CuocQuyTien	ThiÕu L©m vâ t¨ng  	7	99	0	39986500	0	0	0	0	0	0	18	113.161.85.127	2019-09-23 10:53:20	2019-09-23 12:16:07
"2019_09_24 08:02:33"	dongdubai	1C­ícLo¹nTöCung	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	117.2.123.43	2019-09-23 11:20:02	2019-09-23 12:46:53
"2019_09_24 08:02:33"	emtaboi2	1SótChetLun	ThiÕu L©m vâ t¨ng  	0	99	0	1000000	0	0	0	0	0	0	0	115.75.237.174	2019-09-23 18:10:41	2019-09-23 18:10:58
"2019_09_24 08:02:33"	xaydieu	1stSatTHuZz	ThiÕu L©m vâ t¨ng  	7	99	0	1000000	0	0	0	0	0	0	0	42.114.206.95	2019-09-23 19:10:10	2019-09-23 19:10:34
