 thêi gian 	2019-09-16_15:54	2019-09-16_15:54	2019-09-16_15:56	2019-09-16_15:57	2019-09-17_22:55	2019-09-18_11:29	2019-09-22_14:05	2019-09-22_16:41	2019-09-22_19:27	2019-09-24_08:02	2019-09-24_13:16	2019-09-26_09:13	2019-09-26_14:28	2019-09-26_23:21	2019-09-28_17:50	2019-09-28_18:00	2019-09-28_21:21
Tæng sè nh©n vËt	8	8	9	9	746	797	0	3	245	814	982	1653	940	2242	2	21	847
Sè lÇn ®ãng b¨ng	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
