enum_relay	string
LOC_SECT_NAME_1	V« m«n ph¸i
LOC_SECT_NAME_2	ThiÕu L©m
LOC_SECT_NAME_3	Vâ §ang
LOC_SECT_NAME_4	Nga My
LOC_SECT_NAME_5	C¸i Bang
LOC_SECT_NAME_6	§­êng M«n
LOC_SECT_NAME_7	Thiªn Ba Phñ
LOC_SECT_NAME_8	Ngò §éc Gi¸o
LOC_SECT_NAME_9	Thóy Yªn M«n
LOC_SECT_NAME_10	C«n L«n Ph¸i
LOC_SECT_NAME_11	Minh gi¸o
LOC_K_WORLD	ThÕ giíi
LOC_K_CITY	Thµnh
LOC_K_TEAM	Tæ
LOC_K_NEARBY	CËn
LOC_K_FN_NONE	Ch­a
LOC_K_FN_SHAOLIN	ThiÕu L©m
LOC_K_FN_WUDAN	Vâ §ang
LOC_K_FN_EMEI	Nga My
LOC_K_FN_GAIBANG	C¸i Bang
LOC_K_FN_TANGMEN	§­êng M«n
LOC_K_FN_WUDU	Ngò §éc
LOC_K_FN_CUIYAN	Thóy Yªn
LOC_K_FN_KUNLUN	C«n L«n
LOC_K_FN_TIANBO	Thiªn Ba
LOC_K_FN_MINGJIAO	Minh gi¸o
LOC_K_MATE_GROUP_NAME	Phèi ngÉu\n
LOC_K_INFO_BULLETIN	Chó ý
LOC_K_INFO_SYSTEM	HÖ thèng
LOC_K_PR_FRIEND	
LOC_K_PR_BROTHER	Th©n nh©n\n
LOC_K_PR_MATE	Phèi ngÉu\n
LOC_K_PR_ENEMY	Cõu nh©n\n
LOC_U_RELAY	Relay
LOC_U_ERROR_ON_SHUTDOWN	Lçi ph¸t sinh khi ®ãng Relay.
LOC_U_LOAD_AUCTION_FILE_FAIL	§äc tËp tin m«-®un b¸n ®Êu gi¸ thÊt b¹i!
LOC_U_INIT_AUCTION_DATA_FAIL	§Æt nÒn mãng cho d÷ liÖu truy s¸t thÊt b¹i
LOC_U_FAIL_TO_OPEN_AUCTION_DB	Më kho d÷ liÖu b¸n ®Êu gi¸ thÊt b¹i
LOC_U_FAIL_TO_OPEN_KILLER_DB	Më kho dù liÖu nhiÖm vô truy s¸t thÊt b¹i
LOC_U_ERR_IN_KILLDATA_FORMATTODATA	Thñ tôc Èn chøa sù cè nguy hiÓm, b¸o c¸o l¹i víi lËp tr×nh viªn, in KKillerData::FormatToData
