line_id	group_id	desc_cn	condition_ids	item_group_id	type	type_val	min_val	max_val	stat_type	desc_vn
	an item group means a statistic on a set of item of one player	unuse line(2~30)	reference to [conditions.txt].group_id	reference to [itemgroup.txt].group_id	see [statcfg_readme.txt].[CommonAttrType]	see [statcfg_readme.txt].[ItemBaseAttrDef]	const number	const number	see [statcfg_readme.txt].[StatType]	unuse line(2~30)
	one or multi lines with same id construct one statistic	unuse line(2~30)	'&' to depart multi ids	0 means no item group	follow is allow:	 	 		follow is allow:	unuse line(2~30)
	one item group statistic result consider as an extended player common attr	unuse line(2~30)	multi conditions relation is "AND"	 	ITEM_BASE	 			COUNT	unuse line(2~30)
	suggest from 20001	unuse line(2~30)			ITEM_STAT	 			SUM	unuse line(2~30)
		unuse line(2~30)							AVG	unuse line(2~30)
		unuse line(2~30)				predefined base attr of player or item as follow:		ITEM_PLACE		unuse line(2~30)
		unuse line(2~30)				 1001 = ITEM_G		 1 = CurEquip		unuse line(2~30)
		unuse line(2~30)				 1002 = ITEM_D		 2 = Bag		unuse line(2~30)
		unuse line(2~30)				 1003 = ITEM_P		 3 = StoreBox		unuse line(2~30)
		unuse line(2~30)				 1004 = ITEM_ENHANCE		 7 = SelfStall		unuse line(2~30)
		unuse line(2~30)				 1005 = ITEM_NUM				unuse line(2~30)
		unuse line(2~30)				 1006 = ITEM_PLACE				unuse line(2~30)
		unuse line(2~30)				 1007 = ITEM_CUR_LINGQI				unuse line(2~30)
		unuse line(2~30)				 1008 = ITEM_MAX_LINGQI				unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
1	20001	装备+1	40072	10204	ITEM_BASE	1005	1	2000000000	SUM	
2	20002	装备+2	40073	10204	ITEM_BASE	1005	1	2000000000	SUM	
3	20003	装备+3	40074	10204	ITEM_BASE	1005	1	2000000000	SUM	
4	20004	装备+4	40075	10204	ITEM_BASE	1005	1	2000000000	SUM	
5	20005	装备+5	40076	10204	ITEM_BASE	1005	1	2000000000	SUM	
6	20006	装备+6	40077	10204	ITEM_BASE	1005	1	2000000000	SUM	
7	20007	装备+7	40078	10204	ITEM_BASE	1005	1	2000000000	SUM	
8	20008	装备+8	40079	10204	ITEM_BASE	1005	1	2000000000	SUM	
9	20009	装备+9	40080	10204	ITEM_BASE	1005	1	2000000000	SUM	
10	20010	装备+10	40081	10204	ITEM_BASE	1005	1	2000000000	SUM	
11	20011	装备+11	40082	10204	ITEM_BASE	1005	1	2000000000	SUM	
12	20012	装备+12	40083	10204	ITEM_BASE	1005	1	2000000000	SUM	
13	20013	装备+13	40084	10204	ITEM_BASE	1005	1	2000000000	SUM	
14	20014	装备+14	40085	10204	ITEM_BASE	1005	1	2000000000	SUM	
15	20015	装备+15	40086	10204	ITEM_BASE	1005	1	2000000000	SUM	
16	20016	武器_装备+1	40072	10199	ITEM_BASE	1005	1	2000000000	SUM	
17	20017	武器_装备+2	40073	10199	ITEM_BASE	1005	1	2000000000	SUM	
18	20018	武器_装备+3	40074	10199	ITEM_BASE	1005	1	2000000000	SUM	
19	20019	武器_装备+4	40075	10199	ITEM_BASE	1005	1	2000000000	SUM	
20	20020	武器_装备+5	40076	10199	ITEM_BASE	1005	1	2000000000	SUM	
21	20021	武器_装备+6	40077	10199	ITEM_BASE	1005	1	2000000000	SUM	
22	20022	武器_装备+7	40078	10199	ITEM_BASE	1005	1	2000000000	SUM	
23	20023	武器_装备+8	40079	10199	ITEM_BASE	1005	1	2000000000	SUM	
24	20024	武器_装备+9	40080	10199	ITEM_BASE	1005	1	2000000000	SUM	
25	20025	武器_装备+10	40081	10199	ITEM_BASE	1005	1	2000000000	SUM	
26	20026	武器_装备+11	40082	10199	ITEM_BASE	1005	1	2000000000	SUM	
27	20027	武器_装备+12	40083	10199	ITEM_BASE	1005	1	2000000000	SUM	
28	20028	武器_装备+13	40084	10199	ITEM_BASE	1005	1	2000000000	SUM	
29	20029	武器_装备+14	40085	10199	ITEM_BASE	1005	1	2000000000	SUM	
30	20030	武器_装备+15	40086	10199	ITEM_BASE	1005	1	2000000000	SUM	
31	20031	武器_装备+1_正使用	40087&40072	10199	ITEM_BASE	1005	1	2000000000	SUM	
32	20032	武器_装备+2_正使用	40087&40073	10199	ITEM_BASE	1005	1	2000000000	SUM	
33	20033	武器_装备+3_正使用	40087&40074	10199	ITEM_BASE	1005	1	2000000000	SUM	
34	20034	武器_装备+4_正使用	40087&40075	10199	ITEM_BASE	1005	1	2000000000	SUM	
35	20035	武器_装备+5_正使用	40087&40076	10199	ITEM_BASE	1005	1	2000000000	SUM	
36	20036	武器_装备+6_正使用	40087&40077	10199	ITEM_BASE	1005	1	2000000000	SUM	
