line_id	group_id	desc_cn	condition_ids	type	type_val	pretreatment_type	min_val	max_val	stat_type	desc_vn
	a task group means a statistic on a set of task or task_group of one player	unuse line(2~30)	reference to [conditions.txt].group_id	see [statcfg_readme.txt].[TaskStatType]	task id like 1527 or another group_id	see [statcfg_readme.txt].[PreTreatmentType]	const number	const number	see [statcfg_readme.txt].[StatType]	unuse line(2~30)
	one or multi lines with same id construct one statistic	unuse line(2~30)	'&' to depart multi ids	follow is allow:	 	"""NONE"" is default"	 		follow is allow:	unuse line(2~30)
	a task group means a statistic on a set of task or task_group of one player	unuse line(2~30)	multi conditions relation is "AND"	TASK	 	NONE			COUNT	unuse line(2~30)
	suggest from 30001	unuse line(2~30)	 	GROUP		ABS			SUM	unuse line(2~30)
		unuse line(2~30)				BYTE1			AVG	unuse line(2~30)
		unuse line(2~30)				BYTE2				unuse line(2~30)
		unuse line(2~30)				BYTE3				unuse line(2~30)
		unuse line(2~30)				BYTE4				unuse line(2~30)
		unuse line(2~30)				WORD1				unuse line(2~30)
		unuse line(2~30)				WORD2				unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
1	30001	转生1-5		TASK	1538	BYTE1	0	2000000000	SUM	
2	30002	经脉境界		TASK	2933	BYTE1	0	2000000000	SUM	
3	30003	经脉1真气数		TASK	2947	NONE	0	2000000000	SUM	
4	30003	经脉2真气数		TASK	2948	NONE	0	2000000000	SUM	
5	30003	经脉3真气数		TASK	2949	NONE	0	2000000000	SUM	
6	30003	经脉4真气数		TASK	2950	NONE	0	2000000000	SUM	
7	30004	气海真气数		TASK	2934	NONE	0	2000000000	SUM	
8	30005	角色真气数=气海+经脉1-4		GROUP	30003	NONE	0	2000000000	SUM	
9	30005	角色真气数=气海+经脉1-4		GROUP	30004	NONE	0	2000000000	SUM	
10	30006	军功		TASK	701	ABS	0	2000000000	SUM	
11	30007	军衔		TASK	704	ABS	0	2000000000	SUM	
12	30008	白驹丸时间		TASK	2501	NONE	0	2000000000	SUM	
