ItemName	ItemGene	ItemSub	ItemDetail	
Hµnh Gi¶ phôc - Nam tiªu chuÈn	0	100	201	
Hµnh Gi¶ phôc - Nam kh«i ng«	0	100	202	
Hµnh Gi¶ Giíi ®ao - Nam tiªu chuÈn	0	3	201	
Hµnh Gi¶ Giíi ®ao - Nam kh«i ng«	0	3	202	
Hµnh Gi¶ Giíi c«n - Nam tiªu chuÈn	0	5	201	
Hµnh Gi¶ Giíi c«n - Nam kh«i ng«	0	5	202	
Hµnh Gi¶ m·o - Nam tiªu chuÈn	0	103	201	
Hµnh Gi¶ m·o - Nam kh«i ng«	0	103	202	
Hµnh Gi¶ trang - Nam tiªu chuÈn	0	101	201	
Hµnh Gi¶ trang - Nam kh«i ng«	0	101	202	
Hçn Nguyªn Bµn ChØ - Nam tiªu chuÈn	0	102	211	
Hçn Nguyªn Bµn ChØ - Nam kh«i ng«	0	102	212	
Hçn Nguyªn ®ao - Nam tiªu chuÈn	0	3	211	
Hçn Nguyªn ®ao - Nam kh«i ng«	0	3	212	
Hçn Nguyªn phôc - Nam tiªu chuÈn	0	100	211	
Hçn Nguyªn phôc - Nam kh«i ng«	0	100	212	
Hçn Nguyªn C«n - Nam tiªu chuÈn	0	5	211	
Hçn Nguyªn C«n - Nam kh«i ng«	0	5	212	
Hçn Nguyªn m·o - Nam tiªu chuÈn	0	103	211	
Hçn Nguyªn m·o - Nam kh«i ng«	0	103	212	
Hçn Nguyªn trang - Nam tiªu chuÈn	0	101	211	
Hçn Nguyªn trang - Nam kh«i ng«	0	101	212	
Kim Cang Dao Th­êng - Nam tiªu chuÈn	0	100	271	
Kim Cang Dao Th­êng - Nam kh«i ng«	0	100	272	
Kim Cang Dao Qu¸n - Nam tiªu chuÈn	0	103	271	
Kim Cang Dao Qu¸n - Nam kh«i ng«	0	103	272	
Kim Cang Dao §ao - Nam tiªu chuÈn	0	3	271	
Kim Cang Dao §ao - Nam kh«i ng«	0	3	272	
Kim Cang Dao C«n - Nam tiªu chuÈn	0	5	271	
Kim Cang Dao C«n - Nam kh«i ng«	0	5	272	
Kim Cang Dao Trang - Nam tiªu chuÈn	0	101	271	
Kim Cang Dao Trang - Nam kh«i ng«	0	101	272	
Kim Cang Dao Béi - Nam tiªu chuÈn	0	102	271	
Kim Cang Dao Béi - Nam kh«i ng«	0	102	272	
Kim Cang D­¬ng Th­êng - Nam tiªu chuÈn	0	100	251	
Kim Cang D­¬ng Th­êng - Nam kh«i ng«	0	100	252	
Kim Cang D­¬ng Qu¸n - Nam tiªu chuÈn	0	103	251	
Kim Cang D­¬ng Qu¸n - Nam kh«i ng«	0	103	252	
Kim Cang D­¬ng §ao - Nam tiªu chuÈn	0	3	251	
Kim Cang D­¬ng §ao - Nam kh«i ng«	0	3	252	
Kim Cang D­¬ng C«n - Nam tiªu chuÈn	0	5	251	
Kim Cang D­¬ng C«n - Nam kh«i ng«	0	5	252	
Kim Cang D­¬ng Trang - Nam tiªu chuÈn	0	101	251	
Kim Cang D­¬ng Trang - Nam kh«i ng«	0	101	252	
Kim Cang D­¬ng Béi - Nam tiªu chuÈn	0	102	251	
Kim Cang D­¬ng Béi - Nam kh«i ng«	0	102	252	
Khæ Hµnh m·o - Nam tiªu chuÈn	0	103	301	
Khæ Hµnh m·o - Nam kh«i ng«	0	103	302	
Khæ Hµnh bµo - Nam tiªu chuÈn	0	100	301	
Khæ Hµnh bµo - Nam kh«i ng«	0	100	302	
Khæ Hµnh tr­îng - Nam tiªu chuÈn	0	8	301	
Khæ Hµnh tr­îng - Nam kh«i ng«	0	8	302	
Khæ Hµnh phôc - Nam tiªu chuÈn	0	101	301	
Khæ Hµnh phôc - Nam kh«i ng«	0	101	302	
ThiÒn Tu Bµn ChØ - Nam tiªu chuÈn	0	102	311	
ThiÒn Tu Bµn ChØ - Nam kh«i ng«	0	102	312	
ThiÒn Tu Ph¸p Tr­îng - Nam tiªu chuÈn	0	8	311	
ThiÒn Tu Ph¸p Tr­îng - Nam kh«i ng«	0	8	212	
ThiÒn Tu m·o - Nam tiªu chuÈn	0	103	311	
ThiÒn Tu m·o - Nam kh«i ng«	0	103	312	
ThiÒn Tu bµo - Nam tiªu chuÈn	0	100	311	
ThiÒn Tu bµo - Nam kh«i ng«	0	100	312	
ThiÒn Tu phôc - Nam tiªu chuÈn	0	101	311	
ThiÒn Tu phôc - Nam kh«i ng«	0	101	312	
ThiÒn TÞnh phôc - Nam tiªu chuÈn	0	101	321	
ThiÒn TÞnh phôc - Nam kh«i ng«	0	101	322	
ThiÒn TÞnh m·o - Nam tiªu chuÈn	0	103	321	
ThiÒn TÞnh m·o - Nam kh«i ng«	0	103	322	
ThiÒn TÞnh bµo - Nam tiªu chuÈn	0	100	321	
ThiÒn TÞnh bµo - Nam kh«i ng«	0	100	322	
TruyÒn Kinh ThiÒn TÞnh Tr­îng - Nam tiªu chuÈn	0	8	321	
TruyÒn Kinh ThiÒn TÞnh Tr­îng - Nam kh«i ng«	0	8	322	
TruyÒn Kinh ThiÒn TÞnh Bµn ChØ - Nam tiªu chuÈn	0	102	321	
TruyÒn Kinh ThiÒn TÞnh Bµn ChØ - Nam kh«i ng«	0	102	322	
TruyÒn Kinh ThiÒn TÞnh Ngäc Giíi ChØ - Nam tiªu chuÈn	0	102	323	
TruyÒn Kinh ThiÒn TÞnh Ngäc Giíi ChØ - Nam kh«i ng«	0	102	324	
Nh­ Lai Dao Th­êng - Nam tiªu chuÈn	0	100	371	
Nh­ Lai Dao Th­êng - Nam kh«i ng«	0	100	372	
