WeaponEffectId	Attribute_1	Attribute_2	Attribute_3	Attribute_4	Attribute_5	Attribute_6	Attribute_7
1	1,1	2,1	3,1	4,1	5,1	6,1	7,1
2	1,2	2,2	3,2	4,2	5,2	6,2	7,2
3	1,2	2,2	3,2	4,2	5,2	6,2	7,2
4	1,2	2,2	3,2	4,2	5,2	6,2	7,2
5	1,2	2,2	3,2	4,2	5,2	6,2	7,2
6	1,2	2,2	3,2	4,2	5,2	6,2	7,2
7	1,2	2,2	3,2	4,2	5,2	6,2	7,2
8	1,2	2,2	3,2	4,2	5,2	6,2	7,2
9	1,2	2,2	3,2	4,2	5,2	6,2	7,2
10	1,3	2,3	3,3	4,3	5,3	6,3	7,3
11	1,3	2,3	3,3	4,3	5,3	6,3	7,3
12	1,4	2,4	3,4	4,4	5,4	6,4	7,4
13	1,4	2,4	3,4	4,4	5,4	6,4	7,4
14	1,5	2,5	3,5	4,5	5,5	6,5	7,5
15	1,3	2,3	3,3	4,3	5,3	6,3	7,3
16	1,5	2,5	3,5	4,5	5,5	6,5	7,5
17	1,5	2,5	3,5	4,5	5,5	6,5	7,5
18	1,5	2,5	3,5	4,5	5,5	6,5	7,5
19	1,5	2,5	3,5	4,5	5,5	6,5	7,5
20	1,5	2,5	3,5	4,5	5,5	6,5	7,5
21	1,5	2,5	3,5	4,5	5,5	6,5	7,5
22	1,5	2,5	3,5	4,5	5,5	6,5	7,5
23	1,5	2,5	3,5	4,5	5,5	6,5	7,5
24	1,5	2,5	3,5	4,5	5,5	6,5	7,5
25	1,5	2,5	3,5	4,5	5,5	6,5	7,5
26	1,5	2,5	3,5	4,5	5,5	6,5	7,5
27	1,5	2,5	3,5	4,5	5,5	6,5	7,5
28	1,5	2,5	3,5	4,5	5,5	6,5	7,5
29	1,5	2,5	3,5	4,5	5,5	6,5	7,5
30	1,5	2,5	3,5	4,5	5,5	6,5	7,5
31	1,5	2,5	3,5	4,5	5,5	6,5	7,5
32	1,5	2,5	3,5	4,5	5,5	6,5	7,5
33	1,5	2,5	3,5	4,5	5,5	6,5	7,5
