WeaponEffectId	WeaponId	WeaponEffectFile_left	fx_left	fy_left	fz_left	WeaponEffectFile_right	fx_right	fy_right	fz_right
1	0	image\effect\sfx\其他\空手a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\空手a_光球_蓝.3e	1	1	1
1	1	image\effect\sfx\其他\空手a_光球_蓝.3e	1	1	1	image\effect\sfx\其他\空手a_光球_蓝.3e	1	1	1
1	4					image\effect\sfx\其他\刀a_光球_蓝.3e	1	1	1
1	5					image\effect\sfx\其他\刀a_光球_蓝.3e	1.3	1	1
1	6					image\effect\sfx\其他\刀a_光球_蓝.3e	1.3	1	1
1	7					image\effect\sfx\其他\刀a_光球_蓝.3e	1.4	1	1
1	8					image\effect\sfx\其他\刀a_光球_蓝.3e	1.4	1	1
1	9					image\effect\sfx\其他\刀a_光球_蓝.3e	1.4	1	1
1	10					image\effect\sfx\其他\刀b_光球_蓝.3e	1	1	1
1	11					image\effect\sfx\其他\刀b_光球_蓝.3e	1.1	1	1
1	12					image\effect\sfx\其他\刀b_光球_蓝.3e	0.9	1	1
1	13					image\effect\sfx\其他\刀b_光球_蓝.3e	1.1	1	1
1	14					image\effect\sfx\其他\刀c_光球_蓝.3e	1.2	1	1
1	15					image\effect\sfx\其他\刀c_光球_蓝.3e	1.2	1	1
1	16					image\effect\sfx\其他\刀c_光球_蓝.3e	1.1	1	1
1	17					image\effect\sfx\其他\刀d_光球_蓝.3e	1	1	1
1	19					image\effect\sfx\其他\剑a_光球_蓝.3e	1.2	1	1
1	20					image\effect\sfx\其他\剑a_光球_蓝.3e	1.3	1	1
1	21					image\effect\sfx\其他\剑a_光球_蓝.3e	1.2	1	1
1	22					image\effect\sfx\其他\剑a_光球_蓝.3e	1.3	1	1
1	23					image\effect\sfx\其他\剑a_光球_蓝.3e	1.3	1	1
1	24					image\effect\sfx\其他\剑a_光球_蓝.3e	1.3	1	1
1	25					image\effect\sfx\其他\剑b_光球_蓝.3e	1	1	1
1	26					image\effect\sfx\其他\剑b_光球_蓝.3e	1.3	1	1
1	27					image\effect\sfx\其他\剑b_光球_蓝.3e	1.4	1	1
1	28					image\effect\sfx\其他\剑b_光球_蓝.3e	1.3	1	1
1	29					image\effect\sfx\其他\剑c_光球_蓝.3e	1	1	1
1	30					image\effect\sfx\其他\剑c_光球_蓝.3e	1	1	1
1	31					image\effect\sfx\其他\剑c_光球_蓝.3e	1	1	1
1	32					image\effect\sfx\其他\剑c_光球_蓝.3e	1	1	1
1	33					image\effect\sfx\其他\剑c_光球_蓝.3e	0.9	1	1
1	34					image\effect\sfx\其他\剑c_光球_蓝.3e	1	1	1
1	37					image\effect\sfx\其他\笔b_光球_蓝.3e	1.5	1	1
1	38					image\effect\sfx\其他\笔b_光球_蓝.3e	1.5	1	1
1	39					image\effect\sfx\其他\笔b_光球_蓝.3e	1.5	1	1
1	40					image\effect\sfx\其他\笔a_光球_蓝.3e	2	1	1
1	41					image\effect\sfx\其他\笔a_光球_蓝.3e	2	1	1
1	42					image\effect\sfx\其他\笔b_光球_蓝.3e	1.4	1	1
1	43					image\effect\sfx\其他\笔b_光球_蓝.3e	1	1	1
1	44					image\effect\sfx\其他\笔b_光球_蓝.3e	1.6	1	1
1	45					image\effect\sfx\其他\笔b_光球_蓝.3e	1.6	1	1
1	46					image\effect\sfx\其他\笔b_光球_蓝.3e	1.6	1	1
1	47					image\effect\sfx\其他\笔a_光球_蓝.3e	1.7	1	1
1	48					image\effect\sfx\其他\笔b_光球_蓝.3e	1.4	1	1
1	49					image\effect\sfx\其他\笔b_光球_蓝.3e	1.8	1	1
1	50					image\effect\sfx\其他\笔b_光球_蓝.3e	1.4	1	1
1	52					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	53					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	54					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	55					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	56					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	57					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
1	58					image\effect\sfx\其他\棍a_光球_蓝.3e	1.4	1	1
