AttrId	AttrName	Rate	Event	Time	SkillId	Attr	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Value10	DescColor	Desc
Sè hiÖu thuéc tİnh: 	ÊôĞÔÃû³Æ	 	"Thuéc tİnh ph¸t sinh khi (0 chØ t¸c dông khi tr¹ng bŞ, 1 ®¸nh tróng kÎ ®Şch t¸c dông lªn b¶n th©n, 2 ®¸nh b¹i kÎ ®Şch t¸c dông lªn b¶n th©n, 3 bŞ kÎ ®Şch ®¸nh tróng t¸c dông lªn b¶n th©n, 4 khi håi sinh t¸c dông lªn b¶n th©n, 5 khi ®¸nh tróng kÎ ®Şch cã t¸c dông lªn ng­êi kÎ ®Şch, 6 bŞ kÎ ®Şch ®¸nh tróng cã t¸c dông lªn kÎ ®Şch)"		"NÕu lµ thuéc tİnh kü n¨ng, ghi nhËn ID kü n¨ng"	Lo¹i thuéc tİnh (d·y kı tù)	TrŞ Lv1	TrŞ Lv2	TrŞ Lv3	TrŞ Lv4	TrŞ Lv5	TrŞ Lv6	TrŞ Lv7	TrŞ Lv8	TrŞ Lv9	TrŞ Lv10	Kı tù mµu s¾c miªu t¶	Chó thİch
1	ÈÎÂöµãÑ¨ÕæÆø					NEED_ZHEN_QI												
2	¶½ÂöµãÑ¨ÕæÆø					NEED_ZHEN_QI												
3	´øÂöµãÑ¨ÕæÆø					NEED_ZHEN_QI												
4	³åÂöµãÑ¨ÕæÆø					NEED_ZHEN_QI												
5	Çú¹ÇµãÑ¨ÕæÆø					NEED_ZHEN_QI	1000	1000	1000	1000	1000	1000						
6	ÖĞ¼«µãÑ¨ÕæÆø					NEED_ZHEN_QI	1000	1000	1000	1000	1000	1000						
7	ÉñØÊµãÑ¨ÕæÆø					NEED_ZHEN_QI	1000	1000	1000	1000	1000	1000						
8	¹ØÔªµãÑ¨ÕæÆø					NEED_ZHEN_QI	1000	1000	1000	1000	1000	1000						
9	½¨ÀïµãÑ¨ÕæÆø					NEED_ZHEN_QI	1000	1000	1000	1000	1000	1000						
10	ğ¯Î²µãÑ¨ÕæÆø					NEED_ZHEN_QI	1500	1500	1500	1500	1500	1500						
