desc	gem_id	type	level	g	d	p	name	need_trans_level	attr_part1	attr_lv_part1	attr_part2	attr_lv_part2	attr_part3	attr_lv_part3	attr_part4	attr_lv_part4	consume_cnt_remove
									Head		Cloth		Ring		Weapon		consume count when remove
	2	1	1	2	22	101	Huy’t Tr›ch Thπch Lv1	1	13565	1	13569	1	13582	1	13577	1	1
	3	1	2	2	22	102	Huy’t Tr›ch Thπch Lv2	90	13565	2	13569	2	13582	2	13577	2	2
	4	1	3	2	22	103	Huy’t Tr›ch Thπch Lv3	290	13565	3	13569	3	13582	3	13577	3	3
	5	1	4	2	22	104	Huy’t Tr›ch Thπch Lv4	490	13565	4	13569	4	13582	4	13577	4	4
	6	1	5	2	22	105	Huy’t Tr›ch Thπch Lv5	590	13565	5	13569	5	13582	5	13577	5	5
	7	1	6	2	22	106	Huy’t Tr›ch Thπch Lv6	690	13565	6	13569	6	13582	6	13577	6	6
	8	2	1	2	22	201	Nguy÷t Bπch Thπch Lv1	1	13568	1	13570	1	13583	1	13578	1	1
	9	2	2	2	22	202	Nguy÷t Bπch Thπch Lv2	90	13568	2	13570	2	13583	2	13578	2	2
	10	2	3	2	22	203	Nguy÷t Bπch Thπch Lv3	290	13568	3	13570	3	13583	3	13578	3	3
	11	2	4	2	22	204	Nguy÷t Bπch Thπch Lv4	490	13568	4	13570	4	13583	4	13578	4	4
	12	2	5	2	22	205	Nguy÷t Bπch Thπch Lv5	590	13568	5	13570	5	13583	5	13578	5	5
	13	2	6	2	22	206	Nguy÷t Bπch Thπch Lv6	690	13568	6	13570	6	13583	6	13578	6	6
	14	3	1	2	22	301	HÊ Ph∏ch Thπch C p 1	1	13573	1	13571	1	13575	1	13579	1	1
	15	3	2	2	22	302	HÊ Ph∏ch Thπch C p 2	90	13573	2	13571	2	13575	2	13579	2	2
	16	3	3	2	22	303	HÊ Ph∏ch Thπch C p 3	290	13573	3	13571	3	13575	3	13579	3	3
	17	3	4	2	22	304	HÊ Ph∏ch Thπch C p 4	490	13573	4	13571	4	13575	4	13579	4	4
	18	3	5	2	22	305	HÊ Ph∏ch Thπch C p 5	590	13573	5	13571	5	13575	5	13579	5	5
	19	3	6	2	22	306	HÊ Ph∏ch Thπch C p 6	690	13573	6	13571	6	13575	6	13579	6	6
	20	4	1	2	22	401	Hæc Di÷u Thπch C p 1	1	13566	1	13572	1	13576	1	13580	1	1
	21	4	2	2	22	402	Hæc Di÷u Thπch C p 2	90	13566	2	13572	2	13576	2	13580	2	2
	22	4	3	2	22	403	Hæc Di÷u Thπch C p 3	290	13566	3	13572	3	13576	3	13580	3	3
	23	4	4	2	22	404	Hæc Di÷u Thπch C p 4	490	13566	4	13572	4	13576	4	13580	4	4
	24	4	5	2	22	405	Hæc Di÷u Thπch C p 5	590	13566	5	13572	5	13576	5	13580	5	5
	25	4	6	2	22	406	Hæc Di÷u Thπch C p 6	690	13566	6	13572	6	13576	6	13580	6	6
	26	1	6	2	22	107	Huy’t Tr›ch Thπch c p 7	790	13565	7	13569	8	13582	9	13577	10	7
	27	2	6	2	22	207	Nguy÷t Bπch Thπch c p 7	790	13568	7	13570	8	13583	8	13578	10	7
	28	3	6	2	22	307	HÊ Ph∏ch Thπch c p 7	790	13573	9	13571	8	13575	8	13579	10	7
	29	4	6	2	22	407	Hæc Di÷u Thπch c p 7	790	13566	7	13572	8	13576	9	13580	9	7
