Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"(Ngo¹i, néi) phßng"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm																																																													
ThiÕu HiÖp C©n	0	103	1	5	1	0	20	10;3						10	1	1		\image\item\cap\man1_cap_001a1.spr	\image\item\cap\man1_cap_001a0.spr	"Lo¹i kh¨n quÊn th«ng th­êng, rÊt dÔ mua"	±ê×¼ÄĞÍ·²¿001	M·o		1	0	0		0																																																																		
Phong Vò C©n	0	103	2	5	1	0	25	12;4						10	1	1		\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Anh hïng hiÖp kh¸ch th­êng sö dông. Quı ph¸i l¹ th­êng	±ê×¼ÄĞÍ·²¿002	M·o		1	0	0		0					Anh Hïng C©n	0	103	3	10	396	0	30	13;4						13	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	Ng­êi mang vµo nh­ ®­îc trî thªm khİ ph¸ch	±ê×¼ÄĞÍ·²¿003	M·o		2	0	0		0					CÈm Bè c©n	0	103	4	5	457	0	25	4;13						14	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	"Dïng ®Ó bói tãc, rò ra phİa sau rÊt ®Ñp"	±ê×¼ÄĞÍ·²¿012	M·o		2	0	0		0
Anh Hïng C©n	0	103	3	10	396	0	30	13;4						10	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	Ng­êi mang vµo nh­ ®­îc trî thªm khİ ph¸ch	±ê×¼ÄĞÍ·²¿003	M·o		2	0	0		0																																																																		
CÈm Bè c©n	0	103	4	5	457	0	25	4;13						10	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	"Dïng ®Ó bói tãc, rò ra phİa sau rÊt ®Ñp"	±ê×¼ÄĞÍ·²¿012	M·o		2	0	0		0																																																																		
M·n NguyÖt L¹p	0	103	5	15	725	0	45	15;5						10	1	1		\image\item\cap\man1_cap_005a1.spr	\image\item\cap\man1_cap_005a0.spr	Dïng ®Ó ®i trong giã tuyÕt	±ê×¼ÄĞÍ·²¿004	M·o		2	0	0		0																																																																		
Kim Phong Qu¸n	0	103	6	10	734	0	35	5;15						10	1	1		\image\item\cap\man1_cap_006a1.spr	\image\item\cap\man1_cap_006a0.spr	ThuÇn ng©n chÕ thµnh. Kh¶m nhiÒu B¶o Th¹ch cùc quı.	±ê×¼ÄĞÍ·²¿008	M·o		2	0	0		0																																																																		
M«ng DiÖn C©n	0	103	7	20	1046	0	60	17;6						10	1	1		\image\item\cap\man1_cap_007a1.spr	\image\item\cap\man1_cap_007a0.spr	Che nöa khu«n mÆt! C¸c hiÖp kh¸ch th­êng dïng khi hµnh hiÖp	±ê×¼ÄĞÍ·²¿015	M·o		3	0	0		0																																																																		
Hoa D­¬ng c©n	0	103	8	10	1115	0	50	6;17						10	1	1		\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	"Lµm tõ t¬ b¨ng tµm ngµn n¨m, bÒn ch¾c v« song"	±ê×¼ÄĞÍ·²¿010	M·o		3	0	0		0																																																																		
ThiÕt TuyÕn L¹p	0	103	9	30	1695	0	80	19;7						10	1	1		\image\item\cap\man1_cap_009a1.spr	\image\item\cap\man1_cap_009a0.spr	ChÕ tõ tinh thiÕt. Chèng ®­îc cung tªn rÊt hiÖu qu¶	±ê×¼ÄĞÍ·²¿005	M·o		3	0	0		0																																																																		
DËt Èn Qu¸n	0	103	10	15	1811	0	65	7;19						10	1	1		\image\item\cap\man1_cap_010a1.spr	\image\item\cap\man1_cap_010a0.spr	Mïi h­¬ng xua ®uæi tÊt c¶ c¸c lo¹i ®éc trïng	±ê×¼ÄĞÍ·²¿007	M·o		3	0	0		0																																																																		
