T©n Y phôc	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"(Ngo¹i, néi) phßng"	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	"Biªn hiÖu bé trang bÞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bÞ)"	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	"Cã/kh«ng thÓ giao dÞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm																																																													
HiÖp ThiÕu bè y	0	100	1	10	1	0	80	18;5						10	1	1		\image\item\cloth\man1_arm_001a1.spr	\image\item\cloth\man1_arm_001a0.spr	"Trang phôc th«ng th­êng, rÊt dÔ mua"	±ê×¼ÄÐÇû¸É001	Th­îng y		1	0	0		0																																																																		
H¾c T¹o bè y	0	100	2	10	1	0	90	20;5						10	1	1		\image\item\cloth\man1_arm_002a1.spr	\image\item\cloth\man1_arm_002a0.spr	"§­îc may tõ lo¹i v¶i mÒm, nhÑ nh­ng rÊt bÒn ch¾c. C¸c thÝch kh¸ch th­êng sö dông."	±ê×¼ÄÐÇû¸É002	Th­îng y		1	0	0		0																																																																		
Tö C©m Bè Y	0	100	3	20	258	0	120	23;6						10	1	1		\image\item\cloth\man1_arm_003a1.spr	\image\item\cloth\man1_arm_003a0.spr	"§­îc may tõ lo¹i v¶i tõng ng©m trong dÇu c¸, mÒm m¹i, kh«ng thÊm n­íc."	±ê×¼ÄÐÇû¸É003	Th­îng y		2	0	0		0																																																																		
Bµn Long Tó	0	100	4	10	305	0	100	6;23						10	1	1		\image\item\cloth\man1_arm_004a1.spr	\image\item\cloth\man1_arm_004a0.spr	"BÒ ngoµi tr«ng ®¬n gi¶n nh­ng bªn trong cã Èn chøa linh lùc, phßng ngù cùc tèt."	±ê×¼ÄÐÇû¸É012	Th­îng y		2	0	0		0																																																																		
Th­¬ng Lang y	0	100	5	40	724	0	140	25;6						10	1	1		\image\item\cloth\man1_arm_005a1.spr	\image\item\cloth\man1_arm_005a0.spr	"Lo¹i gi¸p chØ che mét phÇn vai, c¸c cao thñ th­êng sö dông."	±ê×¼ÄÐÇû¸É004	Th­îng y		2	0	0		0																																																																		
YÓm T©m gi¸p	0	100	6	20	766	0	110	6;25						10	1	1		\image\item\cloth\man1_arm_006a1.spr	\image\item\cloth\man1_arm_006a0.spr	"§­îc lµm tõ da thó bªn ngoµi cã d¸t ®ång, phßng ngù cùc tèt."	±ê×¼ÄÐÇû¸É008	Th­îng y		2	0	0		0																																																																		
ThÇn Hµnh phôc	0	100	7	60	992	0	160	28;7						10	1	1		\image\item\cloth\man1_arm_007a1.spr	\image\item\cloth\man1_arm_007a0.spr	§­îc dÖt tõ T¬ t»m bÒn ch¾c v« song	±ê×¼ÄÐÇû¸É015	Th­îng y		3	0	0		0																																																																		
Thanh S­¬ng bµo	0	100	8	30	1046	0	120	7;28						10	1	1		\image\item\cloth\man1_arm_008a1.spr	\image\item\cloth\man1_arm_008a0.spr	"Èn ch­a phÐp thuËt ®¹o gia, cã thÓ chèng ®ì kiÕm khÝ cña c¸c cao thñ"	±ê×¼ÄÐÇû¸É010	Th­îng y		3	0	0		0																																																																		
Tham Lang y	0	100	9	80	1527	0	180	30;8						10	1	1		\image\item\cloth\man1_arm_009a1.spr	\image\item\cloth\man1_arm_009a0.spr	"§­îc may tõ Da hæ, oai phong lÉm liÖt, ngµn vµng khã mua."	±ê×¼ÄÐÇû¸É005	Th­îng y		3	0	0		0																																																																		
XÝch §ång trô	0	100	10	40	1620	0	140	8;30						10	1	1		\image\item\cloth\man1_arm_010a1.spr	\image\item\cloth\man1_arm_010a0.spr	"§­îc lµm tõ da thó bªn ngoµi cã d¸t ®ång, phßng ngù cùc tèt."	±ê×¼ÄÐÇû¸É007	Th­îng y		3	0	0		0																																																																		
NhuyÔn Kim y	0	100	11	100	2789	0	200	33;8						10	1	1		\image\item\cloth\man1_arm_011a1.spr	\image\item\cloth\man1_arm_011a0.spr	"§­îc ®óc tõ kim lo¹i máng, bÒn nhÑ"	±ê×¼ÄÐÇû¸É016	Th­îng y		4	0	0		0																																																																		
Th­¬ng  Lan y	0	100	12	50	2986	0	160	8;33						10	1	1		\image\item\cloth\man1_arm_012a1.spr	\image\item\cloth\man1_arm_012a0.spr	"DÖt tõ nhiÒu loµi t¶o d­îc, ng­êi mang c¶m gi¸c dÔ chÞu, t©m tÝnh «n hßa"	±ê×¼ÄÐÇû¸É013	Th­îng y		4	0	0		0					Lam K×nh b× gi¸p	0	100	13	120	4831	0	220	35;10						52	1	1		\image\item\cloth\man1_arm_013a1.spr	\image\item\cloth\man1_arm_013a0.spr	"§­îc lµm tõ da c¸ voi tr¬n bãng, phßng ngù cùc tèt"	±ê×¼ÄÐÇû¸É017	Th­îng y		5	0	0		0					Lam K×nh b× gi¸p	0	100	13	120	4831	0	220	35;10						52	1	1		\image\item\cloth\man1_arm_013a1.spr	\image\item\cloth\man1_arm_013a0.spr	"§­îc lµm tõ da c¸ voi tr¬n bãng, phßng ngù cùc tèt"	±ê×¼ÄÐÇû¸É017	Th­îng y		5	0	0		0
Lam K×nh b× gi¸p	0	100	13	120	4831	0	220	35;10						10	1	1		\image\item\cloth\man1_arm_013a1.spr	\image\item\cloth\man1_arm_013a0.spr	"§­îc lµm tõ da c¸ voi tr¬n bãng, phßng ngù cùc tèt"	±ê×¼ÄÐÇû¸É017	Th­îng y		5	0	0		0																																																																		
XÝch Long bµo	0	100	14	60	5088	0	180	10;35						10	1	1		\image\item\cloth\man1_arm_014a1.spr	\image\item\cloth\man1_arm_014a0.spr	"Kú tr©n dÞ b¶o, ngµn vµng khã mua"	±ê×¼ÄÐÇû¸É011	Th­îng y		5	0	0		0																																																																		
Thiªn Lang y	0	100	15	140	8588	0	240	37;11						10	1	1		\image\item\cloth\man1_arm_015a1.spr	\image\item\cloth\man1_arm_015a0.spr	"§­îc lµm tõ Da hæ, bªn trong cã líp gi¸p s¾t kiÕm ®©m kh«ng thñng"	±ê×¼ÄÐÇû¸É006	Th­îng y		6	0	0		0																																																																		
B¨ng Tµm Trï sam	0	100	16	70	8741	0	200	11;37						10	1	1		\image\item\cloth\man1_arm_016a1.spr	\image\item\cloth\man1_arm_016a0.spr	"§­îc dÖt tõ T¬ t»m, phßng ngù cao"	±ê×¼ÄÐÇû¸É014	Th­îng y		6	0	0		0																																																																		
S¬n Quû huyÕt y	0	100	17	160	11962	0	260	40;13						10	1	1		\image\item\cloth\man1_arm_017a1.spr	\image\item\cloth\man1_arm_017a0.spr	Cã thÓ tr¸nh ®­îc tµ ma vµ biÕt tr­íc tai häa s¾p x¶y ra.	±ê×¼ÄÐÇû¸É018	Th­îng y		7	0	0		0																																																																		
Thiªn Gi¸ng bµo	0	100	18	80	12729	0	220	13;40						10	1	1		\image\item\cloth\man1_arm_018a1.spr	\image\item\cloth\man1_arm_018a0.spr	"§­îc d¸t nhiÒu líp kim lo¹i, g­¬m ®ao khã xuyªn"	±ê×¼ÄÐÇû¸É009	Th­îng y		7	0	0		0																																																																		
HiÖp ThiÕu y	0	100	19	10	1	0	80	18;5						10	1	2		\image\item\cloth\man2_arm_001a1.spr	\image\item\cloth\man2_arm_001a0.spr	"§­îc lµm tõ nguyªn liÖu ®¬n gi¶n, rÊt dÔ mua"	¿ýÎàÄÐÇû¸É004	Th­îng y		1	0	0		0																																																																		
ThiÕt Hé Kiªn	0	100	20	10	1	0	90	20;5						10	1	2		\image\item\cloth\man2_arm_002a1.spr	\image\item\cloth\man2_arm_002a0.spr	"§­îc lµm tõ thÐp tinh luyÖn, phßng ngù cùc tèt"	¿ýÎàÄÐÇû¸É001	Th­îng y		1	0	0		0																																																																		
Thó Hé Kiªn	0	100	21	20	258	0	120	23;6						10	1	2		\image\item\cloth\man2_arm_003a1.spr	\image\item\cloth\man2_arm_003a0.spr	"M« pháng d¸ng h×nh thó Tr¹nh Nanh, ®èi ph­¬ng nh×n thÊy ®· khiÕp sî."	¿ýÎàÄÐÇû¸É002	Th­îng y		2	0	0		0																																																																		
CÈm Ti C©n	0	100	22	10	305	0	100	6;23						10	1	2		\image\item\cloth\man2_arm_004a1.spr	\image\item\cloth\man2_arm_004a0.spr	"§­îc dÖt tõ gÊm mÒm m¹i, gi¶m s¸t th­¬ng  néi lùc."	¿ýÎàÄÐÇû¸É013	Th­îng y		2	0	0		0																																																																		
Hµo HiÖp y	0	100	23	40	724	0	140	25;6						10	1	2		\image\item\cloth\man2_arm_005a1.spr	\image\item\cloth\man2_arm_005a0.spr	Trang phôc cña c¸c hiÖp kh¸ch trõ gian diÖt ®¹o	¿ýÎàÄÐÇû¸É010	Th­îng y		2	0	0		0																																																																		
Kim Ngäc Trï sam	0	100	24	20	766	0	110	6;25						10	1	2		\image\item\cloth\man2_arm_006a1.spr	\image\item\cloth\man2_arm_006a0.spr	"§­îc c¸c thî dÖt næi tiÕng ë TriÕt Giang dÖt thµnh, trªn cã kh¶m ngäc ®¸ng gi¸ ngµn vµng."	¿ýÎàÄÐÇû¸É014	Th­îng y		2	0	0		0																																																																		
Lôc L©m trang	0	100	25	60	992	0	160	28;7						10	1	2		\image\item\cloth\man2_arm_007a1.spr	\image\item\cloth\man2_arm_007a0.spr	Trang phôc cña c¸c Lôc L©m h¶o h¸n	¿ýÎàÄÐÇû¸É011	Th­îng y		3	0	0		0																																																																		
Hoµng Hæ y	0	100	26	30	1046	0	120	7;28						10	1	2		\image\item\cloth\man2_arm_008a1.spr	\image\item\cloth\man2_arm_008a0.spr	"Kú tr©n dÞ b¶o. §­îc lµm tõ Da hæ tr¨m n¨m, Èn chøa linh lùc gi¶m s¸t th­¬ng rÊt hiÖu qu¶"	¿ýÎàÄÐÇû¸É003	Th­îng y		3	0	0		0																																																																		
ThÇn Ng­u Hé gi¸p	0	100	27	80	1527	0	180	30;8						10	1	2		\image\item\cloth\man2_arm_009a1.spr	\image\item\cloth\man2_arm_009a0.spr	"§­îc may tõ da cña tª ng­u ngoµi cã d¸t b¹c, phßng ngù cùc tèt"	¿ýÎàÄÐÇû¸É015	Th­îng y		3	0	0		0																																																																		
