Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
ThiÕu HiÖp C©n	0	103	1	5	1	0	20	10;3						2	1	1		\image\item\cap\man1_cap_001a1.spr	\image\item\cap\man1_cap_001a0.spr	Lo¹i kh¨n quÊn th«ng th­êng, rÊt dÔ mua	±ê×¼ÄĞÍ·²¿001	M·o		1	0	0		0					
Phong Vò C©n	0	103	2	5	1	0	25	12;4						8	1	1		\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Anh hïng hiÖp kh¸ch th­êng sö dông. Quı ph¸i l¹ th­êng	±ê×¼ÄĞÍ·²¿002	M·o		1	0	0		0					Anh Hïng C©n	0	103	3	10	396	0	30	13;4						13	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	Ng­êi mang vµo nh­ ®­îc trî thªm khİ ph¸ch	±ê×¼ÄĞÍ·²¿003	M·o		2	0	0		0					CÈm Bè c©n	0	103	4	5	457	0	25	4;13						14	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	Dïng ®Ó bói tãc, rò ra phİa sau rÊt ®Ñp	±ê×¼ÄĞÍ·²¿012	M·o		2	0	0		0					
Anh Hïng C©n	0	103	3	10	396	0	30	13;4						13	1	1		\image\item\cap\man1_cap_003a1.spr	\image\item\cap\man1_cap_003a0.spr	Ng­êi mang vµo nh­ ®­îc trî thªm khİ ph¸ch	±ê×¼ÄĞÍ·²¿003	M·o		2	0	0		0					
CÈm Bè c©n	0	103	4	5	457	0	25	4;13						14	1	1		\image\item\cap\man1_cap_004a1.spr	\image\item\cap\man1_cap_004a0.spr	"Dïng ®Ó bói tãc, rò ra phİa sau rÊt ®Ñp"	±ê×¼ÄĞÍ·²¿012	M·o		2	0	0		0					
M·n NguyÖt L¹p	0	103	5	15	725	0	45	15;5						21	1	1		\image\item\cap\man1_cap_005a1.spr	\image\item\cap\man1_cap_005a0.spr	Dïng ®Ó ®i trong giã tuyÕt	±ê×¼ÄĞÍ·²¿004	M·o		2	0	0		0					
Kim Phong Qu¸n	0	103	6	10	734	0	35	5;15						22	1	1		\image\item\cap\man1_cap_006a1.spr	\image\item\cap\man1_cap_006a0.spr	ThuÇn ng©n chÕ thµnh. Kh¶m nhiÒu B¶o Th¹ch cùc quı.	±ê×¼ÄĞÍ·²¿008	M·o		2	0	0		0					
M«ng DiÖn C©n	0	103	7	20	1046	0	60	17;6						30	1	1		\image\item\cap\man1_cap_007a1.spr	\image\item\cap\man1_cap_007a0.spr	Che nöa khu«n mÆt! C¸c hiÖp kh¸ch th­êng dïng khi hµnh hiÖp	±ê×¼ÄĞÍ·²¿015	M·o		3	0	0		0					
Hoa D­¬ng c©n	0	103	8	10	1115	0	50	6;17						31	1	1		\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Lµm tõ t¬ b¨ng tµm ngµn n¨m, bÒn ch¾c v« song	±ê×¼ÄĞÍ·²¿010	M·o		3	0	0		0					
ThiÕt TuyÕn L¹p	0	103	9	30	1695	0	80	19;7						38	1	1		\image\item\cap\man1_cap_009a1.spr	\image\item\cap\man1_cap_009a0.spr	ChÕ tõ tinh thiÕt. Chèng ®­îc cung tªn rÊt hiÖu qu¶	±ê×¼ÄĞÍ·²¿005	M·o		3	0	0		0					
DËt Èn Qu¸n	0	103	10	15	1811	0	65	7;19						39	1	1		\image\item\cap\man1_cap_010a1.spr	\image\item\cap\man1_cap_010a0.spr	Mïi h­¬ng xua ®uæi tÊt c¶ c¸c lo¹i ®éc trïng	±ê×¼ÄĞÍ·²¿007	M·o		3	0	0		0					
Hång L¨ng C©n	0	103	11	40	3064	0	100	21;8						47	1	1		\image\item\cap\man1_cap_011a1.spr	\image\item\cap\man1_cap_011a0.spr	Mïi th¬m cña kh¨n lµm mÊt t¸c dông cña c¸c lo¹i mª h­¬ng d­îc.	±ê×¼ÄĞÍ·²¿016	M·o		4	0	0		0					
Hµng V©n Thóc ®¸i	0	103	12	20	3302	0	85	8;21						48	1	1		\image\item\cap\man1_cap_012a1.spr	\image\item\cap\man1_cap_012a0.spr	Dïng ®Ó bói tãc tr­íc khi chiÕn ®Êu	±ê×¼ÄĞÍ·²¿013	M·o		4	0	0		0					
Thanh Sa Nh·n Tr¸o	0	103	13	50	5074	0	130	23;8						55	1	1		\image\item\cap\man1_cap_013a1.spr	\image\item\cap\man1_cap_013a0.spr	B¶o vÖ cho m¾t. Thİch hîp chiÕn ®Êu	±ê×¼ÄĞÍ·²¿017	M·o		5	0	0		0					
Xİch Tinh Nh·n Tr¸o	0	103	14	25	5402	0	110	8;23						56	1	1		\image\item\cap\man1_cap_014a1.spr	\image\item\cap\man1_cap_014a0.spr	NhÑ nh­ c¸nh chuån chuån. Mµu ®á khiÕn ®èi ph­¬ng ho¶ng sî	±ê×¼ÄĞÍ·²¿011	M·o		5	0	0		0					
Phi V©n L¹p	0	103	15	60	8260	0	160	24;9						64	1	1		\image\item\cap\man1_cap_015a1.spr	\image\item\cap\man1_cap_015a0.spr	KÕt b»ng tinh thiÕt. Phßng ngù cùc tèt	±ê×¼ÄĞÍ·²¿006	M·o		6	0	0		0					
TuyÖt B¶o Qu¸n	0	103	16	30	8605	0	140	9;24						65	1	1		\image\item\cap\man1_cap_016a1.spr	\image\item\cap\man1_cap_016a0.spr	Kh¶m nhiÒu B¶o Th¹ch quı hiÕm. Gióp c¬ thÓ phôc håi sinh khİ	±ê×¼ÄĞÍ·²¿014	M·o		6	0	0		0					
S¬n Quû DiÖn	0	103	17	70	12923	0	200	26;12						72	1	1		\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	MÒm dÎo nh­ng ch¾c ch¾n. Thİch hîp chiÕn ®Êu	±ê×¼ÄĞÍ·²¿018	M·o		7	0	0		0					
MËt ThÇn qu¸n	0	103	18	35	13863	0	175	12;26						73	1	1		\image\item\cap\man1_cap_018a1.spr	\image\item\cap\man1_cap_018a0.spr	§éi vµo cã thÓ linh c¶m ®­îc ®iÒu hiÓm nguy s¾p x¶y ra	±ê×¼ÄĞÍ·²¿009	M·o		7	0	0		0					
HiÖp ThiÕu bè c©n	0	103	19	5	1	0	20	10;3						2	1	2		\image\item\cap\man2_cap_001a1.spr	\image\item\cap\man2_cap_001a0.spr	Dïng ®Ó bói tãc khi luyÖn v«ng	¿ıÎàÄĞÍ·²¿004	M·o		1	0	0		0					
H¾c CÈm bè c©n	0	103	20	5	1	0	25	12;4						8	1	2		\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	C¸c hiÖp kh¸ch th­êng mang khi hµnh hiÖp ®ªm tèi	¿ıÎàÄĞÍ·²¿001	M·o		1	0	0		0					
Ng­u B× ®Çu c©n	0	103	21	10	396	0	30	13;4						13	1	2		\image\item\cap\man2_cap_003a1.spr	\image\item\cap\man2_cap_003a0.spr	Võa ®Ñp võa duyªn d¸ng. C¸c v¨n nh©n rÊt thİch ®eo	¿ıÎàÄĞÍ·²¿002	M·o		2	0	0		0					
Kim §iÒu c©n	0	103	22	5	457	0	25	4;13						14	1	2		\image\item\cap\man2_cap_004a1.spr	\image\item\cap\man2_cap_004a0.spr	Dïng ®Ó bói tãc, rò ra phİa sau rÊt ®Ñp	¿ıÎàÄĞÍ·²¿013	M·o		2	0	0		0					
Vò Th¾ng Sa M·o	0	103	23	15	725	0	45	15;5						21	1	2		\image\item\cap\man2_cap_005a1.spr	\image\item\cap\man2_cap_005a0.spr	C¸c vâ s­ th­êng mang, phßng ngù rÊt tèt	¿ıÎàÄĞÍ·²¿010	M·o		2	0	0		0					
Hoµng Trï Thóc c©n	0	103	24	10	734	0	35	5;15						22	1	2		\image\item\cap\man2_cap_002a1.spr	\image\item\cap\man2_cap_002a0.spr	Võa ®Ñp võa cã thÓ b¶o vÖ phÇn ®Çu	¿ıÎàÄĞÍ·²¿014	M·o		2	0	0		0					
ThÇn Méc c©n	0	103	25	20	1046	0	60	17;6						30	1	2		\image\item\cap\man2_cap_007a1.spr	\image\item\cap\man2_cap_007a0.spr	KÕt tõ vá c©y cæ thô. Phßng ngù cùc tèt	¿ıÎàÄĞÍ·²¿011	M·o		3	0	0		0					
Nh­îc Thñy L¹p	0	103	26	10	1115	0	50	6;17						31	1	2		\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Gän nhÑ nh­ng ch¾c ch¾n.	¿ıÎàÄĞÍ·²¿003	M·o		3	0	0		0					
Chu T­íc Thóc c©n	0	103	27	30	1695	0	80	19;7						38	1	2		\image\item\cap\man2_cap_009a1.spr	\image\item\cap\man2_cap_009a0.spr	C¸c v¨n nh©n th­êng ®eo, rÊt sang träng quı ph¸i	¿ıÎàÄĞÍ·²¿015	M·o		3	0	0		0					
H¶i ThÇn kÕt	0	103	28	15	1811	0	65	7;19						39	1	2		\image\item\cap\man2_cap_010a1.spr	\image\item\cap\man2_cap_010a0.spr	Gièng h×nh ®Çu c¸, phßng ngù cùc tèt	¿ıÎàÄĞÍ·²¿008	M·o		3	0	0		0					
§Şnh Quèc Tö C©n	0	103	29	40	3064	0	100	21;8						47	1	2		\image\item\cap\man2_cap_011a1.spr	\image\item\cap\man2_cap_011a0.spr	Hµo khİ xung thiªn, t¨ng thªm søc m¹nh chiÕn ®Êu	¿ıÎàÄĞÍ·²¿012	M·o		4	0	0		0					
MËt NhÉn DiÖn tr¸o	0	103	30	20	3302	0	85	8;21						48	1	2		\image\item\cap\man2_cap_012a1.spr	\image\item\cap\man2_cap_012a0.spr	C¸c thİch kh¸ch HuyÒn NhÉn gi¸o vïng Liªu §«ng th­êng mang	¿ıÎàÄĞÍ·²¿018	M·o		4	0	0		0					
ThÇn S¸ch Kim Kh«i	0	103	31	50	5074	0	130	23;8						55	1	2		\image\item\cap\man2_cap_013a1.spr	\image\item\cap\man2_cap_013a0.spr	CÊm vÖ qu©n §­êng triÒu th­êng ®éi. T­îng tr­ng cho søc m¹nh v­¬ng quyÒn	¿ıÎàÄĞÍ·²¿005	M·o		5	0	0		0					
Ngò Quû c©n	0	103	32	25	5402	0	110	8;23						56	1	2		\image\item\cap\man2_cap_014a1.spr	\image\item\cap\man2_cap_014a0.spr	Hót ®­îc yªu ma linh lùc, khiÕn ®èi ph­¬ng võa nh×n thÊy ®· khiÕp sî	¿ıÎàÄĞÍ·²¿017	M·o		5	0	0		0					
Tinh Cang ChiÕn Kh«i	0	103	33	60	8260	0	160	24;9						64	1	2		\image\item\cap\man2_cap_015a1.spr	\image\item\cap\man2_cap_015a0.spr	Tinh thĞp ®óc thµnh, ®ao th­¬ng bÊt nhËp	¿ıÎàÄĞÍ·²¿006	M·o		6	0	0		0					
L«i Tr× diÖn	0	103	34	30	8605	0	140	9;24						65	1	2		\image\item\cap\man2_cap_016a1.spr	\image\item\cap\man2_cap_016a0.spr	Phßng ngù cùc kú hiÖu qu¶	¿ıÎàÄĞÍ·²¿009	M·o		6	0	0		0					
Chung Quú diÖn	0	103	35	70	12923	0	200	26;12						72	1	2		\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	§eo vµo khiÕn quû thÇn còng ph¶i kinh sî	¿ıÎàÄĞÍ·²¿007	M·o		7	0	0		0					
DŞ ThÇn c©n	0	103	36	35	13863	0	175	12;26						73	1	2		\image\item\cap\man2_cap_018a1.spr	\image\item\cap\man2_cap_018a0.spr	Chøa nhiÒu n¨ng lùc thÇn bİ	¿ıÎàÄĞÍ·²¿016	M·o		7	0	0		0					
§µo Méc Tr©m	0	103	37	5	1	0	20	10;3						2	2	3		\image\item\cap\fm1_cap_001a1.spr	\image\item\cap\fm1_cap_001a0.spr	Lµm tõ ®µo méc, mang vµo sÏ khiÕn t©m tİnh hiÒn hßa	ĞÔ¸ĞÅ®Í·²¿033	M·o		1	0	0		0					
Th¸i Méc Tr©m	0	103	38	5	1	0	25	12;4						8	2	3		\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Mïi h­¬ng cã thÓ xua ®uæi c¸c lo¹i ®éc trïng	ĞÔ¸ĞÅ®Í·²¿019	M·o		1	0	0		0					
Phßng Phong L¹p	0	103	39	10	396	0	30	13;4						13	2	3		\image\item\cap\fm1_cap_003a1.spr	\image\item\cap\fm1_cap_003a0.spr	Dïng ®Ó b¶o vÖ m¾t, cã thÓ ®i trong giã c¸t	ĞÔ¸ĞÅ®Í·²¿021	M·o		2	0	0		0					
TŞ Thñy L¹p	0	103	40	5	457	0	25	4;13						14	2	3		\image\item\cap\fm1_cap_004a1.spr	\image\item\cap\fm1_cap_004a0.spr	Lo¹i v¶i kh«ng thÊm n­íc, cã thÓ ®i trong m­a giã	ĞÔ¸ĞÅ®Í·²¿022	M·o		2	0	0		0					
Thanh §ång kÕt	0	103	41	15	725	0	45	15;5						21	2	3		\image\item\cap\fm1_cap_005a1.spr	\image\item\cap\fm1_cap_005a0.spr	H×nh d¸ng rÊt cæ x­a, lµm tõ ®ång thau	ĞÔ¸ĞÅ®Í·²¿029	M·o		2	0	0		0					
San H« tr©m	0	103	42	10	734	0	35	5;15						22	2	3		\image\item\cap\fm1_cap_006a1.spr	\image\item\cap\fm1_cap_006a0.spr	Lµm tõ san h« ngµn n¨m, ngh×n vµng khã mua	ĞÔ¸ĞÅ®Í·²¿034	M·o		2	0	0		0					
Bµn Th¹ch kÕt	0	103	43	20	1046	0	60	17;6						30	2	3		\image\item\cap\fm1_cap_007a1.spr	\image\item\cap\fm1_cap_007a0.spr	Lµm tõ háa th¹ch, cã thÓ trõ hµn gi¶i ®éc	ĞÔ¸ĞÅ®Í·²¿027	M·o		3	0	0		0					
Khæng T­íc Tr©m	0	103	44	10	1115	0	50	6;17						31	2	3		\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Kú tr©n dŞ b¶o. Cã thÓ phßng vµ gi¶i ®éc d­îc	ĞÔ¸ĞÅ®Í·²¿020	M·o		3	0	0		0					
Chu T­íc Ph¸t KÕt	0	103	45	30	1695	0	80	19;7						38	2	3		\image\item\cap\fm1_cap_009a1.spr	\image\item\cap\fm1_cap_009a0.spr	Lµm tõ x­¬ng ®¹i ®iªu, cã thÓ ®i xuyªn löa	ĞÔ¸ĞÅ®Í·²¿027	M·o		3	0	0		0					
§»ng Xµ tr©m	0	103	46	15	1811	0	65	7;19						39	2	3		\image\item\cap\fm1_cap_010a1.spr	\image\item\cap\fm1_cap_010a0.spr	Lµm tõ x­¬ng m·ng xµ v­¬ng. Cã thÓ khèng chÕ d· thó	ĞÔ¸ĞÅ®Í·²¿025	M·o		3	0	0		0					
Minh §iÖp kÕt	0	103	47	40	3064	0	100	21;8						47	2	3		\image\item\cap\fm1_cap_011a1.spr	\image\item\cap\fm1_cap_011a0.spr	M« pháng theo h×nh 1 lo¹i b­ím kú dŞ vïng Miªu LÜnh	ĞÔ¸ĞÅ®Í·²¿031	M·o		4	0	0		0					
