Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Hu©n Y H­¬ng Nang	0	102	1	1	10		20							5	2			\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	Lo¹i h­¬ng liÖu cùc quı cã t¸c dông thanh t©m tŞnh khİ.		Bè phÈm		1	0	0		0					
Hîp Hoan H­¬ng Nang	0	102	2	2	20		20							15	2			\image\item\ring\ring_002a1.spr	\image\item\ring\ring_002a0.spr	H­¬ng nang lµm tõ cá Hîp Hoan, cã t¸c dông thanh t©m tŞnh khİ.		Bè phÈm		2	0	0		0					
TrÇm §µn H­¬ng Nang	0	102	3	3	50		20							25	2			\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ		Bè phÈm		3	0	0		0					
Tiªn X¹ h­¬ng Nang	0	102	4	4	100		40							35	2			\image\item\ring\ring_004a1.spr	\image\item\ring\ring_004a0.spr	Tiªn X¹ h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ		Bè phÈm		4	0	0		0					
Long Diªn H­¬ng Nang	0	102	5	5	400		40							45	2			\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ		Bè phÈm		5	0	0		0					
Lôc Du Ngäc Béi	0	102	6	1	10		20							10	1			\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn luång kh«ng khİ Êm ¸p		Bè phÈm		1	0	0		0					
Kinh B¹ch Ngäc Béi	0	102	7	2	20		20							20	1			\image\item\ring\ring_007a1.spr	\image\item\ring\ring_007a0.spr	Lo¹i ngäc béi mµu tr¾ng, ®eo vµo gióp c¬ thÓ Êm ¸p		Bè phÈm		2	0	0		0					
§µo Hoa Ngäc Béi	0	102	8	3	50		20							30	1			\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p		Bè phÈm		3	0	0		0					
Ngò S¾c Ngäc Béi	0	102	9	4	100		40							40	1			\image\item\ring\ring_009a1.spr	\image\item\ring\ring_009a0.spr	Lo¹i ngäc béi ngò s¾c, mang ®Õn mét luång kh«ng khİ Êm ¸p		Bè phÈm		4	0	0		0					
MÆc Ngäc Ngäc Béi	0	102	10	5	400		40							50	1			\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p		Bè phÈm		5	0	0		0					
Lôc Tïng Th¹ch hé phï	0	102	11	1	10		20							5	1			\image\item\ring\ring_011a1.spr	\image\item\ring\ring_011a0.spr	Hé phï quı hiÕm chÕ tõ Lôc Tïng th¹ch		Bè phÈm		1	0	0		0					
Miªu Nh·n hé phï	0	102	12	2	20		20							15	1			\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	Hé phï quı hiÕm chÕ tõ Miªu Nh·n kú th¹ch		Bè phÈm		2	0	0		0					
Thñy Tinh hé phï	0	102	13	3	50		20							25	1			\image\item\ring\ring_013a1.spr	\image\item\ring\ring_013a0.spr	Hé phï quı hiÕm chÕ tõ Thñy Tinh kú th¹ch		Bè phÈm		3	0	0		0					
Hæ Ph¸ch Hé phï	0	102	14	4	100		40							35	1			\image\item\ring\ring_014a1.spr	\image\item\ring\ring_014a0.spr	Hé phï quı hiÕm chÕ tõ Hæ Ph¸ch kú th¹ch		Bè phÈm		4	0	0		0					
Hång PhØ Thóy Hé Th©n Phï	0	102	15	5	400		40							45	1			\image\item\ring\ring_015a1.spr	\image\item\ring\ring_015a0.spr	Hé phï quı hiÕm chÕ tõ PhØ Thóy kú th¹ch		Bè phÈm		5	0	0		0					
Phï Dung Th¹ch Giíi ChØ	0	102	16	1	10		20							10	2			\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	§­îc lµm tõ Phï Dung th¹ch, cã thÓ tr¸nh tµ		Bè phÈm		1	0	0		0					
Tæ MÉu Lôc Giíi ChØ	0	102	17	2	20		20							20	2			\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	§­îc lµm tõ Lôc B¶o Th¹ch, cã thÓ tr¸nh tµ		Bè phÈm		2	0	0		0					
Lam B¶o Th¹ch Giíi ChØ	0	102	18	3	50		20							30	2			\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	§­îc lµm tõ Lam B¶o Th¹ch, cã thÓ tr¸nh tµ		Bè phÈm		3	0	0		0					
Lam Thñy Tinh Giíi ChØ	0	102	19	4	100		40							40	2			\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	§­îc lµm tõ Lam thñy tinh, cã thÓ tr¸nh tµ		Bè phÈm		4	0	0		0					
NhÉn Kim C­¬ng	0	102	20	5	400		40							50	2			\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	§­îc lµm tõ Kim Cang th¹ch, cã thÓ tr¸nh tµ		Bè phÈm		5	0	0		0					
T©n Thñ Ngäc Béi	0	102	101	2	2		20							1				\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	Lo¹i ngäc béi thø phÈm, kh«ng cã gi¸ trŞ cao.		NhiÖm vô		1	0	0		0					
T©n Thñ H­¬ng Nang	0	102	102	2	2		20							1				\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	Lo¹i h­¬ng nang thø phÈm, kh«ng cã gi¸ trŞ cao.		NhiÖm vô		1	0	0		0					
PhØ Thóy Giíi ChØ	0	102	103	2	2		20							1				\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	Lµm tõ PhØ Thóy, gióp t¨ng n¨ng lùc phßng ngù nhÊt ®Şnh.		NhiÖm vô		1	1	1		0					
NhÉn kim c­¬ng	0	102	104	2	2		20							15	1			\image\item\ring\»é½äa1.spr	\image\item\ring\»é½äa0.spr	Lo¹i nhÉn ®eo trong ngµy thµnh h«n, t­îng tr­ng cho t×nh yªu		Bè phÈm		1	0	1		0					
