Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
	0=trang bŞ vò khİ	0=g¨ng tay	1 sè tïy ı; kh«ng bŞ trïng			0=Kh«ng		0=cÇm tay ph¶i	xxx;xxxx	xxx;xxxx						1=Nam tiªu chuÈn	1=Ch­a										ThiÕu L©m tôc gia=2						
		1=¸m khİ				1=Kim		1=tay tr¸i								2=Nam kh«i ng«	2=ThiÕu L©m										ThiÕu L©m thiÒn t¨ng=3						
		2=KiÕm				2=Méc		2=hai tay								3=N÷ gîi c¶m	3=Vâ §ang										ThiÕu L©m Vâ t¨ng=4						
		3=§ao				3=Thñy		3=cÇm trªn hai tay								4=KiÒu n÷	4=Nga My										§­êng M«n=6						
		4=Cung				4=Háa											5=C¸i Bang										Nga My phËt gia=8						
		5=C«n				5=Thæ											6=§­êng M«n										Nga My tôc gia=9						
		6=Th­¬ng				6=¢m																					C¸i Bang TÜnh y=11						
		7=Song ®ao				Tïy c¬=-1																					C¸i Bang ¤ Y=12						
		8=Tİch tr­îng																									Vâ §ang ®¹o gia=14						
		9=Bót																									Vâ §ang tôc gia=15						
		10=CÇm																															
		11=Tr¶o																															
																																	
		100=Y phôc																															
		101=Giµy																															
		102=trang søc																															
		103=M·o																															
