Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"Phßng ngù (Néi, ngo¹i)"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	"Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Hu©n Y H­¬ng Nang	0	102	1	1	10		20							10	2			\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	Lo¹i h­¬ng liÖu cùc quı cã t¸c dông thanh t©m tŞnh khİ.		Bè phÈm		1	0	0		0					
Hîp Hoan H­¬ng Nang	0	102	2	2	20		20							10	2			\image\item\ring\ring_002a1.spr	\image\item\ring\ring_002a0.spr	"H­¬ng nang lµm tõ cá Hîp Hoan, cã t¸c dông thanh t©m tŞnh khİ."		Bè phÈm		2	0	0		0					
TrÇm §µn H­¬ng Nang	0	102	3	3	50		20							10	2			\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	"H­¬ng nang cã chøa trÇm h­¬ng, cã t¸c dông thanh t©m tŞnh khİ"		Bè phÈm		3	0	0		0					
Tiªn X¹ h­¬ng Nang	0	102	4	4	100		40							10	2			\image\item\ring\ring_004a1.spr	\image\item\ring\ring_004a0.spr	"Tiªn X¹ h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ"		Bè phÈm		4	0	0		0					
Long Diªn H­¬ng Nang	0	102	5	5	400		40							10	2			\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	"Long diªn h­¬ng nang, cã t¸c dông thanh t©m tŞnh khİ"		Bè phÈm		5	0	0		0					
Lôc Du Ngäc Béi	0	102	6	1	10		20							10	1			\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn luång kh«ng khİ Êm ¸p"		Bè phÈm		1	0	0		0					
Kinh B¹ch Ngäc Béi	0	102	7	2	20		20							10	1			\image\item\ring\ring_007a1.spr	\image\item\ring\ring_007a0.spr	"Lo¹i ngäc béi mµu tr¾ng, ®eo vµo gióp c¬ thÓ Êm ¸p"		Bè phÈm		2	0	0		0					
§µo Hoa Ngäc Béi	0	102	8	3	50		20							10	1			\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	"Lo¹i ngäc béi tinh quı, mang ®Õn mét luång kh«ng khİ Êm ¸p"		Bè phÈm		3	0	0		0					
Ngò S¾c Ngäc Béi	0	102	9	4	100		40							10	1			\image\item\ring\ring_009a1.spr	\image\item\ring\ring_009a0.spr	"Lo¹i ngäc béi ngò s¾c, mang ®Õn mét luång kh«ng khİ Êm ¸p"		Bè phÈm		4	0	0		0					
MÆc Ngäc Ngäc Béi	0	102	10	5	400		40							10	1			\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	"Lo¹i ngäc béi mµu ®en, mang ®Õn mét luång kh«ng khİ Êm ¸p"		Bè phÈm		5	0	0		0					
Lôc Tïng Th¹ch hé phï	0	102	11	1	10		20							10	1			\image\item\ring\ring_011a1.spr	\image\item\ring\ring_011a0.spr	Hé phï quı hiÕm chÕ tõ Lôc Tïng th¹ch		Bè phÈm		1	0	0		0					
Miªu Nh·n hé phï	0	102	12	2	20		20							10	1			\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	Hé phï quı hiÕm chÕ tõ Miªu Nh·n kú th¹ch		Bè phÈm		2	0	0		0					
Thñy Tinh hé phï	0	102	13	3	50		20							10	1			\image\item\ring\ring_013a1.spr	\image\item\ring\ring_013a0.spr	Hé phï quı hiÕm chÕ tõ Thñy Tinh kú th¹ch		Bè phÈm		3	0	0		0					
Hæ Ph¸ch Hé phï	0	102	14	4	100		40							10	1			\image\item\ring\ring_014a1.spr	\image\item\ring\ring_014a0.spr	Hé phï quı hiÕm chÕ tõ Hæ Ph¸ch kú th¹ch		Bè phÈm		4	0	0		0					
Hång PhØ Thóy Hé Th©n Phï	0	102	15	5	400		40							10	1			\image\item\ring\ring_015a1.spr	\image\item\ring\ring_015a0.spr	Hé phï quı hiÕm chÕ tõ PhØ Thóy kú th¹ch		Bè phÈm		5	0	0		0					
Phï Dung Th¹ch Giíi ChØ	0	102	16	1	10		20							10	2			\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	"§­îc lµm tõ Phï Dung th¹ch, cã thÓ tr¸nh tµ"		Bè phÈm		1	0	0		0					
Tæ MÉu Lôc Giíi ChØ	0	102	17	2	20		20							10	2			\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"§­îc lµm tõ Lôc B¶o Th¹ch, cã thÓ tr¸nh tµ"		Bè phÈm		2	0	0		0					
Lam B¶o Th¹ch Giíi ChØ	0	102	18	3	50		20							10	2			\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	"§­îc lµm tõ Lam B¶o Th¹ch, cã thÓ tr¸nh tµ"		Bè phÈm		3	0	0		0					
Lam Thñy Tinh Giíi ChØ	0	102	19	4	100		40							10	2			\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	"§­îc lµm tõ Lam thñy tinh, cã thÓ tr¸nh tµ"		Bè phÈm		4	0	0		0					
NhÉn Kim C­¬ng	0	102	20	5	400		40							10	2			\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	"§­îc lµm tõ Kim Cang th¹ch, cã thÓ tr¸nh tµ"		Bè phÈm		5	0	0		0					
T©n Thñ Ngäc Béi	0	102	101	2	2		20							10				\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	"Lo¹i ngäc béi thø phÈm, kh«ng cã gi¸ trŞ cao."		NhiÖm vô		1	0	0		0					
T©n Thñ H­¬ng Nang	0	102	102	2	2		20							10				\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	"Lo¹i h­¬ng nang thø phÈm, kh«ng cã gi¸ trŞ cao."		NhiÖm vô		1	0	0		0					
PhØ Thóy Giíi ChØ	0	102	103	2	2		20							10				\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Lµm tõ PhØ Thóy, gióp t¨ng n¨ng lùc phßng ngù nhÊt ®Şnh."		NhiÖm vô		1	1	1		0					
NhÉn kim c­¬ng	0	102	104	2	2		20							10	1			\image\item\ring\»é½äa1.spr	\image\item\ring\»é½äa0.spr	"Lo¹i nhÉn ®eo trong ngµy thµnh h«n, t­îng tr­ng cho t×nh yªu"		Bè phÈm		1	0	1		0					
NhÉn kim c­¬ng	0	102	105	2	2		20							10	2			\image\item\ring\»é½äa1.spr	\image\item\ring\»é½äa0.spr	"Lo¹i nhÉn ®eo trong ngµy thµnh h«n, t­îng tr­ng cho t×nh yªu"		Bè phÈm		1	0	1		0					
NhÉn kim c­¬ng	0	102	106	2	2		20							10	1			\image\item\ring\»é½äa1.spr	\image\item\ring\»é½äa0.spr	"NhÉn dµnh cho nh÷ng ng­êi ®· kÕt h«n, t­¬ng tr­ng cho sù vÜnh h»ng cña t×nh yªu"		Bè phÈm		1	2	1		0					
NhÉn kim c­¬ng	0	102	107	2	2		20							10	2			\image\item\ring\»é½äa1.spr	\image\item\ring\»é½äa0.spr	"NhÉn dµnh cho nh÷ng ng­êi ®· kÕt h«n, t­¬ng tr­ng cho sù vÜnh h»ng cña t×nh yªu"		Bè phÈm		1	2	1		0					
T­íng Qu©n Giíi ChØ	0	102	21	10	1		20							10				\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	VËt may m¾n cña c¸c hoµng ®Õ tÆng cho ®¹i t­íng khi xuÊt chinh		§· khãa		7	0	1		0					
C¸t T­êng	0	102	22	1	1		20						500101	10				\image\item\ring\ring_015a1.spr	\image\item\ring\ring_015a0.spr	"Trang søc may m¾n, cã thÓ mang ®Õn vËn may."		§· khãa		7	2	1		0					
Nh­ ı	0	102	23	1	1		20						500101	10				\image\item\ring\ring_014a1.spr	\image\item\ring\ring_014a0.spr	"Trang søc may m¾n, cã thÓ mang ®Õn vËn may."		§· khãa		7	2	1		0					
§«ng Ph­¬ng Long Ch©u	0	102	24	1	1		20						500102	10				\image\item\ring\ring_021a1.spr	\image\item\ring\ring_021a0.spr	"Lo¹i nhÉn thêi xa x­a, chøa ®ùng mét n¨ng lùc siªu phµm."		§· khãa		7	2	1		0					
Phi D­¬ng	0	102	25	1	1		20						500103	10	1			\image\item\ring\Ô§½äa1.spr	\image\item\ring\Ô§½äa0.spr	GÆp lµ c¶m thÊy vui mõng phÊn khëi		§· khãa		7	2	1		0					
TŞch Väng	0	102	26	1	1		20						500104	10	2			\image\item\ring\Ñì½äa1.spr	\image\item\ring\Ñì½äa0.spr	Nhí phu qu©n mong chê ngµy ®ªm		§· khãa		7	2	1		0					
KhuÊt Nguyªn Béi	0	102	27	1	1		20						500105	10				\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	Lo¹i ngäc béi KhuÊt Nguyªn th­êng ®eo		Bè phÈm		7	0	1		0					
§¹i Lùc ThÇn H¹ng Liªn	0	102	28	10	1		50						500106	10				\image\item\ring\ÊÀ½ç±­ÊÎÆ·a1.spr	\image\item\ring\ÊÀ½ç±­ÊÎÆ·a0.spr	"§­îc lµm tõ minh ch©u, B¶o Th¹ch, do §¹i Tèng Hoµng §Õ tÆng cho Xóc Cóc V­¬ng (®Ó vµo « phİm t¾t sö dông)"		Bè phÈm	\script\online\worldcup06\worldcup_ring_item.lua	7	0	1		0					
Th¸i H­ HuyÔn Ngäc	0	102	29	10	1		50						500107	10				\image\item\ring\ring_007a1.spr	\image\item\ring\ring_007a0.spr	"Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, cã İch cho ng­êi luyÖn vâ."		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn §¸i 	0	102	30	10	1		50						500108	10				\image\item\ring\Æ®´ø1a1.spr	\image\item\ring\Æ®´ø1a0.spr	"Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, cã İch cho ng­êi luyÖn vâ."		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn Hoµn	0	102	31	10	1		50						500109	10				\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	"Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, cã İch cho ng­êi luyÖn vâ."		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn Béi	0	102	32	10	1		50						500110	10				\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	"Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, cã İch cho ng­êi luyÖn vâ."		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn Giíi	0	102	33	10	1		50						500111	10				\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	"Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, cã İch cho ng­êi luyÖn vâ."		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn §¹i	0	102	34	10	1		50						500112	10				\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	"Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, ®Ö tö Ngò §éc ­a dïng"		Bè phÈm		7	0	1		0					
Th¸i H­ HuyÔn Th¹ch	0	102	35	10	1		50						500113	10				\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"Ph¸p b¶o cña Cöu Thiªn HuyÒn N÷, dïng ®Ó chÕ ngù ®èi ph­¬ng"		Bè phÈm		7	0	1		0					
